序号,经度,纬度
523,120.688179,36.355912
524,120.688198,36.355905
525,120.688216,36.355898
526,120.688235,36.355891
527,120.688254,36.355884
528,120.688273,36.355877
529,120.688292,36.355870
530,120.688311,36.355863
531,120.688330,36.355856
532,120.688349,36.355849
533,120.688368,36.355842
534,120.688386,36.355835
535,120.688405,36.355828
536,120.688424,36.355821
537,120.688443,36.355814
538,120.688462,36.355807
539,120.688481,36.355800
540,120.688500,36.355793
541,120.688519,36.355786
542,120.688538,36.355779
543,120.688557,36.355772
544,120.688575,36.355765
545,120.688594,36.355758
546,120.688613,36.355751
547,120.688632,36.355744
548,120.688651,36.355737
549,120.688670,36.355730
550,120.688689,36.355723
551,120.688708,36.355716
552,120.688727,36.355709
553,120.688745,36.355702
554,120.688764,36.355695
555,120.688783,36.355688
556,120.688802,36.355681
557,120.688821,36.355674
558,120.688840,36.355666
559,120.688859,36.355659
560,120.688878,36.355652
561,120.688897,36.355645
562,120.688915,36.355638
563,120.688934,36.355631
564,120.688953,36.355624
565,120.688972,36.355617
566,120.688991,36.355610
567,120.689010,36.355603
568,120.689029,36.355596
569,120.689048,36.355589
570,120.689067,36.355582
571,120.689086,36.355575
572,120.689104,36.355568
573,120.689123,36.355561
574,120.689142,36.355554
575,120.689161,36.355547
576,120.689199,36.355533
577,120.689218,36.355526
578,120.689237,36.355519
579,120.689256,36.355512
580,120.689275,36.355505
581,120.689294,36.355498
582,120.689313,36.355491
583,120.689332,36.355484
584,120.689351,36.355477
585,120.689370,36.355470
586,120.689389,36.355463
587,120.689408,36.355456
588,120.689427,36.355449
589,120.689446,36.355442
590,120.689465,36.355435
591,120.689484,36.355428
592,120.689503,36.355421
593,120.689522,36.355414
594,120.689541,36.355407
595,120.689560,36.355400
596,120.689579,36.355393
597,120.689598,36.355386
598,120.689617,36.355379
599,120.689636,36.355372
600,120.689655,36.355365
601,120.689674,36.355358
602,120.689693,36.355351
603,120.689712,36.355344
604,120.689731,36.355337
605,120.689750,36.355330
606,120.689769,36.355323
607,120.689788,36.355316
608,120.689807,36.355309
