122286.56,36.4004803,120.6897318,15.21,0.02,0.02,0.06
122287.56,36.40049828,120.68970513,15.17,0.02,0.02,0.06
122288.56,36.40051897,120.68967652,15.14,0.02,0.02,0.06
122289.56,36.40054224,120.68964715,15.12,0.02,0.02,0.06
122290.56,36.40056688,120.68961802,15.1,0.02,0.02,0.06
122291.56,36.40059174,120.68958982,15.09,0.02,0.02,0.06
122292.56,36.40061684,120.68956259,15.06,0.02,0.02,0.06
122293.56,36.40064257,120.68953548,15.05,0.02,0.02,0.06
122294.56,36.40066847,120.68950786,15.02,0.02,0.02,0.06
122295.56,36.40069459,120.6894795,14.99,0.02,0.02,0.06
122296.56,36.40072068,120.68945087,14.97,0.02,0.02,0.06
122297.56,36.40074626,120.68942241,14.95,0.02,0.02,0.06
122298.56,36.40077143,120.68939415,14.93,0.02,0.02,0.06
122299.56,36.40079634,120.68936642,14.9,0.02,0.02,0.06
122300.56,36.4008211,120.68933951,14.87,0.02,0.02,0.06
122301.56,36.40084567,120.68931322,14.87,0.02,0.02,0.06
122302.56,36.40086989,120.68928757,14.86,0.02,0.02,0.06
122303.56,36.40089367,120.68926238,14.83,0.02,0.02,0.06
122304.56,36.40091694,120.68923771,14.81,0.02,0.02,0.06
122305.56,36.40093965,120.68921361,14.81,0.02,0.02,0.06
122306.56,36.40096175,120.68919004,14.81,0.02,0.02,0.06
122307.56,36.40098347,120.68916687,14.79,0.02,0.02,0.06
122308.56,36.40100542,120.68914334,14.76,0.02,0.02,0.06
122309.56,36.40102797,120.6891192,14.74,0.02,0.02,0.06
122310.56,36.40105107,120.68909413,14.74,0.02,0.02,0.06
122311.56,36.40107474,120.68906852,14.72,0.02,0.02,0.06
122312.56,36.40109899,120.68904215,14.7,0.02,0.02,0.06
122313.56,36.4011238,120.68901516,14.69,0.02,0.02,0.06
122314.56,36.40114915,120.68898766,14.67,0.02,0.02,0.06
122315.56,36.40117509,120.6889597,14.63,0.02,0.02,0.06
122316.56,36.40120157,120.68893108,14.6,0.02,0.02,0.06
122317.56,36.40122609,120.68890456,14.59,0.02,0.02,0.06
122318.56,36.40122438,120.68890633,14.6,0.02,0.02,0.06
122319.56,36.40122495,120.68890574,14.6,0.03,0.03,0.06
122320.56,36.40122564,120.68890501,14.6,0.04,0.04,0.07
122321.56,36.40133707,120.68878464,14.52,0.03,0.03,0.06
122322.56,36.40136518,120.68875503,14.46,0.02,0.02,0.06
122323.56,36.40139201,120.68872682,14.42,0.02,0.02,0.06
122324.56,36.40141756,120.68870018,14.42,0.01,0.01,0.06
122325.56,36.40144213,120.68867449,14.38,0.01,0.01,0.06
122326.56,36.40146569,120.68864985,14.37,0.01,0.01,0.06
122327.56,36.4014884,120.68862596,14.34,0.01,0.01,0.06
122328.56,36.40151036,120.68860274,14.3,0.02,0.02,0.06
122329.56,36.40153191,120.68857988,14.27,0.02,0.02,0.06
122330.56,36.40155305,120.68855739,14.25,0.02,0.02,0.06
122331.56,36.40157375,120.68853524,14.23,0.02,0.02,0.06
122332.56,36.40159414,120.6885133,14.21,0.02,0.02,0.06
122333.56,36.40161431,120.68849167,14.18,0.02,0.02,0.06
122334.56,36.40163422,120.68847016,14.15,0.02,0.02,0.06
122335.56,36.40165405,120.68844872,14.13,0.02,0.02,0.06
122336.56,36.40167328,120.68842797,14.11,0.02,0.02,0.06
122337.56,36.40169231,120.68840738,14.07,0.02,0.02,0.06
122338.56,36.40171093,120.68838722,14.06,0.02,0.02,0.06
122339.56,36.40172917,120.68836771,14.03,0.02,0.02,0.06
122340.56,36.40174715,120.68834835,13.99,0.02,0.02,0.06
122341.56,36.40176471,120.6883293,14.01,0.02,0.02,0.06
122342.56,36.40178165,120.6883111,14.06,0.02,0.02,0.06
122343.56,36.40179814,120.68829353,14.04,0.02,0.02,0.06
122344.56,36.40181241,120.68827828,14.04,0.01,0.01,0.06
122345.56,36.40182384,120.68826624,14.02,0.01,0.01,0.06
122346.56,36.40183147,120.6882582,14.02,0.01,0.01,0.06
122347.56,36.40183513,120.68825438,14.01,0.02,0.02,0.06
122348.56,36.40183726,120.68825216,14.01,0.02,0.02,0.06
122349.56,36.40183866,120.68825067,14.01,0.02,0.02,0.06
122350.56,36.40183902,120.68825034,14.01,0.02,0.02,0.06
122351.56,36.40183897,120.68825042,14,0.02,0.02,0.06
122352.56,36.40183895,120.68825046,13.99,0.02,0.02,0.06
122353.56,36.40183895,120.6882505,13.99,0.02,0.02,0.06
122354.56,36.40183896,120.6882505,13.99,0.02,0.02,0.06
122355.56,36.401839,120.68825044,13.99,0.02,0.02,0.06
122356.56,36.40183896,120.68825049,13.99,0.02,0.02,0.06
122357.56,36.40183886,120.68825059,13.99,0.02,0.02,0.06
122358.56,36.40183883,120.68825061,13.99,0.02,0.02,0.06
122359.56,36.40183881,120.68825065,13.99,0.02,0.02,0.06
122360.56,36.4018393,120.68825015,13.99,0.02,0.02,0.06
122361.56,36.40184561,120.68824365,13.99,0.02,0.02,0.06
122362.56,36.40185849,120.68823021,13.97,0.02,0.02,0.06
122363.56,36.40187581,120.6882117,13.96,0.02,0.02,0.06
122364.56,36.40189707,120.68818831,13.96,0.02,0.02,0.06
122365.56,36.40192164,120.68816067,13.94,0.02,0.02,0.06
122366.56,36.40194878,120.68812892,13.92,0.02,0.02,0.06
122367.56,36.40197747,120.68809395,13.9,0.02,0.02,0.06
122368.56,36.4020073,120.68805589,13.9,0.02,0.02,0.06
122369.56,36.40203696,120.68801626,13.88,0.02,0.02,0.06
122370.56,36.40206606,120.68797527,13.88,0.02,0.02,0.06
122371.56,36.40209447,120.68793184,13.87,0.02,0.02,0.06
122372.56,36.40212302,120.68788483,13.85,0.02,0.02,0.06
122373.56,36.40215169,120.68783418,13.85,0.02,0.02,0.06
122374.56,36.40217961,120.68777982,13.86,0.02,0.02,0.06
122375.56,36.40220675,120.68772259,13.9,0.02,0.02,0.06
122376.56,36.40223283,120.68766319,13.96,0.02,0.02,0.06
122377.56,36.40225764,120.68760224,14.03,0.02,0.02,0.06
122378.56,36.40228164,120.68754047,14.1,0.02,0.02,0.06
122379.56,36.40230494,120.68747755,14.19,0.02,0.02,0.06
122380.56,36.40232769,120.68741245,14.29,0.02,0.02,0.06
122381.56,36.40234966,120.68734542,14.41,0.02,0.02,0.06
122382.56,36.40236996,120.68727754,14.54,0.02,0.02,0.06
122383.56,36.40238811,120.68720944,14.69,0.02,0.02,0.06
122384.56,36.40240461,120.6871414,14.83,0.02,0.02,0.06
122385.56,36.40241971,120.68707297,14.96,0.02,0.02,0.06
122386.56,36.40243388,120.6870037,15.08,0.02,0.02,0.06
122387.56,36.40244749,120.68693292,15.2,0.02,0.02,0.06
122388.56,36.40246044,120.6868605,15.32,0.02,0.02,0.06
122389.56,36.40247266,120.6867866,15.45,0.02,0.02,0.06
122390.56,36.4024843,120.68671141,15.57,0.02,0.02,0.06
122391.56,36.40249591,120.68663501,15.69,0.02,0.02,0.06
122392.56,36.40250743,120.6865575,15.82,0.02,0.02,0.06
122393.56,36.40251887,120.68647867,15.94,0.02,0.02,0.06
122394.56,36.40253033,120.6863995,16.06,0.02,0.02,0.06
122395.56,36.40254199,120.6863205,16.16,0.02,0.02,0.06
122396.56,36.40255383,120.68624144,16.25,0.02,0.02,0.06
122397.56,36.40256591,120.68616208,16.33,0.02,0.02,0.06
122398.56,36.40257739,120.6860822,16.4,0.02,0.02,0.06
122399.56,36.40258868,120.68600167,16.47,0.02,0.02,0.06
122400.56,36.4026006,120.6859208,16.53,0.02,0.02,0.06
122401.56,36.4026134,120.68583969,16.6,0.02,0.02,0.06
122402.56,36.40262637,120.68576059,16.65,0.02,0.02,0.06
122403.56,36.40263793,120.68568722,16.69,0.02,0.02,0.06
122404.56,36.40264822,120.68561855,16.73,0.02,0.02,0.06
